epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.72,1.48342,1.24054,0.97225,0.52716,0.33894,0.35492,0.21739,1.28868,0.87321,0.92404,0.000415606,0.000415606,0.000415606
2,273.543,1.42536,0.96356,0.94014,0.4539,0.36689,0.36627,0.21546,1.28469,0.90993,0.91542,0.000815794,0.000815794,0.000815794
3,410.024,1.42145,0.95045,0.93485,0.54388,0.38573,0.41915,0.25077,1.28074,0.84472,0.91859,0.00119948,0.00119948,0.00119948
4,547.692,1.38968,0.91171,0.92735,0.53764,0.39045,0.40953,0.24583,1.25958,0.81277,0.90889,0.00117575,0.00117575,0.00117575
5,683.334,1.36693,0.88491,0.92079,0.58438,0.39167,0.42993,0.25844,1.21556,0.80083,0.90008,0.001151,0.001151,0.001151
6,820.809,1.34394,0.85429,0.91401,0.54503,0.40431,0.43034,0.2622,1.21984,0.77628,0.89867,0.00112625,0.00112625,0.00112625
7,957.464,1.33302,0.84021,0.91225,0.60251,0.42608,0.46342,0.28404,1.19377,0.75187,0.89486,0.0011015,0.0011015,0.0011015
8,1094.57,1.32611,0.82941,0.91044,0.58795,0.43117,0.45918,0.28542,1.19348,0.75026,0.892,0.00107675,0.00107675,0.00107675
9,1230.99,1.30168,0.80944,0.90693,0.60057,0.42631,0.46789,0.2871,1.19349,0.75295,0.89547,0.001052,0.001052,0.001052
10,1368.08,1.30528,0.80234,0.90562,0.61936,0.44814,0.4855,0.29974,1.17429,0.73438,0.89281,0.00102725,0.00102725,0.00102725
11,1503.73,1.28756,0.79084,0.90183,0.61614,0.4587,0.49219,0.30382,1.16372,0.71808,0.88577,0.0010025,0.0010025,0.0010025
12,1638.9,1.28083,0.77981,0.89958,0.61354,0.45908,0.49271,0.30461,1.16914,0.72019,0.88886,0.00097775,0.00097775,0.00097775
13,1774.75,1.28488,0.77355,0.89694,0.60534,0.46409,0.49733,0.30738,1.1582,0.70818,0.88596,0.000953,0.000953,0.000953
14,1910.04,1.25881,0.75994,0.89482,0.61246,0.46745,0.49633,0.31,1.16046,0.70369,0.8847,0.00092825,0.00092825,0.00092825
15,2044.9,1.26076,0.75151,0.89214,0.63942,0.45923,0.50439,0.31406,1.14249,0.70593,0.88253,0.0009035,0.0009035,0.0009035
16,2179.8,1.25705,0.75528,0.89351,0.64431,0.4612,0.49867,0.31307,1.14462,0.70423,0.88041,0.00087875,0.00087875,0.00087875
17,2313.64,1.24931,0.74613,0.89119,0.618,0.46053,0.50189,0.31549,1.12828,0.6929,0.87859,0.000854,0.000854,0.000854
18,2448.85,1.23869,0.73325,0.88953,0.62671,0.46538,0.51273,0.3236,1.1271,0.68298,0.87971,0.00082925,0.00082925,0.00082925
19,2583.88,1.23172,0.72128,0.88641,0.62689,0.47264,0.51007,0.31833,1.13267,0.68742,0.8808,0.0008045,0.0008045,0.0008045
20,2718.04,1.23413,0.72459,0.88764,0.61666,0.4779,0.51542,0.32005,1.1328,0.68402,0.87953,0.00077975,0.00077975,0.00077975
21,132.756,1.23249,0.72816,0.88496,0.63767,0.47563,0.5228,0.32737,1.11859,0.67594,0.87635,0.000755,0.000755,0.000755
22,268.893,1.21198,0.70219,0.88382,0.61853,0.48692,0.52461,0.33357,1.11632,0.67049,0.87564,0.00073025,0.00073025,0.00073025
23,402.256,1.21717,0.7084,0.88213,0.66215,0.48749,0.53325,0.33479,1.11248,0.66788,0.8744,0.0007055,0.0007055,0.0007055
24,535.675,1.20745,0.6946,0.88122,0.65595,0.48358,0.53087,0.33248,1.10657,0.66674,0.87392,0.00068075,0.00068075,0.00068075
25,668.018,1.19598,0.68744,0.87801,0.66053,0.48807,0.53743,0.33829,1.10883,0.66109,0.87371,0.000656,0.000656,0.000656
26,801.593,1.19125,0.68029,0.87686,0.6589,0.48643,0.53545,0.33355,1.11257,0.66001,0.87445,0.00063125,0.00063125,0.00063125
27,933.197,1.1874,0.67904,0.87663,0.64378,0.49221,0.53091,0.33371,1.10553,0.65887,0.87393,0.0006065,0.0006065,0.0006065
28,1065.97,1.18937,0.67748,0.87712,0.6516,0.50611,0.54436,0.34367,1.10521,0.65419,0.87321,0.00058175,0.00058175,0.00058175
29,1199.02,1.17438,0.66735,0.87588,0.65085,0.49185,0.53243,0.33371,1.10286,0.65457,0.8732,0.000557,0.000557,0.000557
30,1332.73,1.18029,0.66768,0.87543,0.65566,0.49296,0.53564,0.33845,1.10007,0.65106,0.87342,0.00053225,0.00053225,0.00053225
31,1465.13,1.17047,0.66221,0.87363,0.63299,0.51116,0.54351,0.34401,1.10392,0.65331,0.87352,0.0005075,0.0005075,0.0005075
32,1598.32,1.16739,0.65427,0.8724,0.64851,0.49665,0.5379,0.33702,1.10038,0.64738,0.87193,0.00048275,0.00048275,0.00048275
33,1730.64,1.16999,0.6526,0.87045,0.6868,0.49513,0.54877,0.34332,1.10147,0.64341,0.87212,0.000458,0.000458,0.000458
34,1862.79,1.15184,0.64356,0.87022,0.66794,0.50745,0.55092,0.34732,1.09526,0.64141,0.87271,0.00043325,0.00043325,0.00043325
35,1996.67,1.1558,0.64086,0.86768,0.66581,0.50076,0.55146,0.34877,1.10094,0.64375,0.87322,0.0004085,0.0004085,0.0004085
36,2129.99,1.14972,0.63995,0.86875,0.64795,0.51298,0.55054,0.34706,1.09352,0.64166,0.87138,0.00038375,0.00038375,0.00038375
