epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,490.014,1.66144,1.90054,1.80187,0.5804,0.53753,0.54952,0.24971,1.70025,1.22632,1.88949,0.00999028,0.00333009,0.00999028,0.00333009,0.00999028,0.00333009,0.00999028,0.00333009
2,923.895,1.56547,1.52408,1.72055,0.56003,0.4966,0.52164,0.24021,1.70457,1.40933,1.92602,0.0197429,0.00658097,0.0197429,0.00658097,0.0197429,0.00658097,0.0197429,0.00658097
3,1328.11,1.62566,1.66315,1.7929,0.54672,0.45511,0.48091,0.20695,1.8914,1.63986,2.17449,0.029248,0.00974934,0.029248,0.00974934,0.029248,0.00974934,0.029248,0.00974934
4,1722.18,1.6408,1.71552,1.8162,0.58499,0.51972,0.52682,0.26681,1.58282,1.21554,1.84611,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,2119.43,1.57809,1.58887,1.7653,0.62057,0.55355,0.58515,0.30237,1.4675,1.08119,1.72369,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,2516.53,1.51455,1.49752,1.71418,0.62521,0.58135,0.58286,0.3137,1.37747,1.08139,1.65335,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,2913.37,1.46796,1.42058,1.66864,0.67721,0.61439,0.65712,0.37532,1.27184,0.91523,1.5509,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,3315.12,1.43115,1.36922,1.64182,0.66428,0.62598,0.6677,0.38132,1.24082,0.87126,1.51519,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,3714.65,1.40567,1.3191,1.62174,0.67147,0.62442,0.66877,0.39847,1.16504,0.84341,1.45094,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,4111.65,1.38652,1.27655,1.60286,0.69093,0.63644,0.68477,0.39765,1.19845,0.82115,1.47221,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,4507.01,1.36195,1.25699,1.58584,0.693,0.65488,0.69494,0.41879,1.10736,0.8158,1.40219,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,4903.19,1.3376,1.21489,1.55905,0.74975,0.65111,0.72377,0.43274,1.09196,0.75096,1.38757,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,5302.33,1.32774,1.19015,1.54302,0.72489,0.67698,0.71843,0.44943,1.0261,0.71668,1.33822,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,5699.78,1.30812,1.16813,1.53284,0.72539,0.67003,0.71521,0.44978,0.99325,0.70823,1.30963,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,6100.99,1.29318,1.14977,1.52212,0.71695,0.69876,0.7347,0.46286,0.96218,0.6754,1.28054,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,6506.69,1.28268,1.12712,1.51224,0.73667,0.69858,0.74715,0.47713,0.96512,0.66142,1.27644,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,6915.97,1.26764,1.11495,1.50097,0.76303,0.68294,0.74816,0.47853,0.95323,0.65376,1.27061,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,7316.77,1.25896,1.10075,1.48956,0.73427,0.69411,0.74364,0.48195,0.93193,0.6205,1.25244,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,7714.93,1.23683,1.07277,1.47754,0.74554,0.70955,0.74939,0.48214,0.93259,0.62661,1.25127,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,8115.47,1.24429,1.07459,1.47737,0.77144,0.69328,0.75643,0.49053,0.90846,0.60979,1.23829,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,8513.15,1.2253,1.05205,1.46482,0.78313,0.70135,0.7573,0.49725,0.87975,0.59407,1.21499,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
